Plant Code,geometry,Distance,capacity_factor,wind_speed
55739,POINT (-120.2794 45.2766),0.011490922069182445,0.343,7.16
55740,POINT (-106.1077 41.7172),0.009565933357489537,0.462,9.96
55741,POINT (-103.162028 40.945911),0.011562527405382515,0.409,8.03
55742,POINT (-90.386667 42.9625),0.004235407182311708,0.473,7.65
55747,POINT (-102.201433 30.931467),0.007418395850858669,0.47,9.4
55769,POINT (-75.451666 42.894722),0.008103695515017419,0.429,7.84
55782,POINT (-95.853447 43.754739),0.018613130956398907,0.484,8.36
55790,POINT (-75.762536 42.988989),0.011529007329336972,0.47,8.37
55795,POINT (-102.414067 30.9514),0.009134480007090185,0.427,7.91
55796,POINT (-102.414067 30.9514),0.009134480007090185,0.427,7.91
55803,POINT (-79.012778 39.979167),0.008859292578982714,0.464,8.34
55804,POINT (-93.4167 43.3833),0.01032824036319037,0.442,7.8
55805,POINT (-79.393644 39.913408),0.00914848271572095,0.485,8.49
55809,POINT (-96.1125 44.0119),0.004974181440203193,0.476,8.26
56206,POINT (-96.1183 44.0197),0.005181783573252087,0.476,8.26
55816,POINT (-93.4775 43.047222),0.03813808815344595,0.447,7.88
63287,POINT (-93.453642 43.061204),0.015342300218669532,0.447,7.88
55871,POINT (-120.5507 45.5563),0.003310083533688787,0.43,7.9
55944,POINT (-84.7381 45.7644),0.010166639611988645,0.478,7.32
55968,POINT (-100.235652 32.4301),0.006527585847771359,0.523,9.01
55980,POINT (-95.950556 43.899722),0.011223941776390318,0.478,8.32
55981,POINT (-95.955885 43.9204),0.005503600457889378,0.471,8.25
55986,POINT (-79.5372 39.1828),0.009489276684763756,0.462,8.48
55989,POINT (-118.816246 46.01279),0.01293136531847617,0.398,7.43
55992,POINT (-102.0867 30.9178),0.011196307471662,0.491,8.67
55995,POINT (-101.280517 48.021271),0.007572445972076985,0.48,8.38
56001,POINT (-75.4542 41.5533),0.0054086449319591615,0.513,8.07
56002,POINT (-96.303611 43.5564),0.011055700882353891,0.423,7.64
56010,POINT (-93.629956 43.052758),0.027797939006337927,0.437,7.76
56011,POINT (-116.735 33.9172),0.005787073958395063,0.582,10.35
56052,POINT (-79.002047 39.790739),0.004581407753084157,0.438,8.06
56054,POINT (-92.851078 43.978486),0.011142933410916335,0.455,7.99
56075,POINT (-121.8053 38.1381),0.005013650366757049,0.487,7.7
56081,POINT (-98.577311 34.850781),0.007360374039410506,0.555,9.06
56092,POINT (-99.5 44.5492),0.015306237715391451,0.439,7.89
56093,POINT (-110.5556 41.2874),0.004860977885157795,0.387,7.74
56094,POINT (-99.340047 36.603967),0.005627929814772121,0.499,8.56
56097,POINT (-104.04733 34.63566),0.048881762652338144,0.378,7.66
56099,POINT (-98.898356 46.327169),0.0026158080969263817,0.486,8.39
56106,POINT (-103.6983 41.2736),0.014094189050811029,0.404,8.0
56111,POINT (-101.147784 32.94793),0.007335700443722176,0.445,8.79
